n,gamma,perceptron_weights,svm_weights,perceptron_error,svm_error,svm/percp
10,0.05415843810658019,[-0.74584875  2.15178175],[-1.313952    2.39996077],0.5,0.0,1.201428055027026
10,0.028242241961036016,[1.27981336 0.6147569 ],[2.04716781 0.88696752],0.0,0.0,1.571380646284269
10,0.06207961687553076,[ 2.85770351 -1.47842086],[ 2.29821284 -1.48122745],0.0,0.0,0.8497928156474686
10,0.6845911479053012,[-0.07970042  0.10040095],[0.27374188 1.7083024 ],0.0,0.5,13.496409574662364
10,0.02615694552570323,[0.25934036 1.40705946],[-0.33435923  2.54582848],0.5,0.5,1.794634736995865
10,0.5547271277549557,[-0.44290613 -0.22968883],[1.63553879 1.0514153 ],0.5,0.5,3.8970866341439265
10,0.15342244786244122,[-0.35027929 -0.89088869],[-0.04569972 -1.91542203],0.0,0.0,2.001477288331564
10,0.12233054662805368,[ 1.16698566 -0.97335398],[ 0.42187855 -1.98426383],0.0,0.0,1.3349415325223783
10,0.10044047932192411,[ 0.52182365 -2.30850513],[-0.50946912 -2.30074068],0.0,0.0,0.9956587532307798
10,0.005019760290886597,[-1.41744407  1.50888204],[-0.8837864   1.34306294],0.0,0.5,0.776608147528773
10,0.40668462485231927,[-0.95854862 -0.54377223],[-1.41612577 -0.21553952],0.0,0.0,1.299796750412541
10,0.0019793503860587635,[-1.78392526  1.44302384],[-2.2005518   1.47582427],0.0,0.0,1.154772585816149
10,0.0836362729690077,[0.16205418 0.10818614],[ 0.0059914  -1.13214016],0.0,0.0,5.8104532282940955
10,0.973172582041672,[-0.63499489 -0.79294652],[-1.14664013  1.44754979],0.0,0.5,1.8178276193258407
10,0.10074180867996935,[-0.17157953  0.77673725],[-1.96856549  1.262785  ],0.0,0.5,2.940147616001633
10,0.27872860607278555,[0.72362489 0.16055862],[-0.01591656  1.31305716],0.0,0.5,1.7716031633640699
10,0.005480148270934183,[-0.79468352 -1.29420778],[-1.35113847 -2.11758256],0.5,0.5,1.653975616444781
10,0.0023938820047942695,[-1.42659696  1.70984447],[-1.98263644  1.83586396],0.0,0.0,1.2134236315440285
10,0.0393693619203429,[-1.62899854  2.41972515],[-0.08524089  1.70027704],0.0,0.5,0.5836238297554961
10,0.06911063156796009,[-5.94998901  4.86084061],[-2.45839104  1.54951398],0.0,0.0,0.3782288843112828
10,0.014275194588344121,[-1.00363521 -0.59297433],[-1.58664239 -1.57884717],0.0,0.0,1.9201409374045613
10,1.0640868729974868,[-0.47626894 -0.53785546],[-0.07849055  0.45639357],0.0,0.5,0.6446045410465658
10,0.07585761238095218,[ 2.16359857 -0.67315162],[ 2.04286404 -0.62242995],0.0,0.0,0.9424885295182358
10,0.8368478004512163,[-0.22537853  0.32326763],[ 1.18970098 -0.12166433],0.0,1.0,3.034693343344082
10,0.2329345192386832,[0.65706698 0.74182056],[0.97378309 2.14709894],0.0,0.5,2.3790691755191413
10,0.4564766212897119,[ 0.14553611 -0.16557438],[ 0.39607613 -1.3995883 ],0.0,1.0,6.598281395645368
10,0.7936160234335412,[0.07614265 0.78144971],[ 1.33146107 -0.46574977],0.0,1.0,1.7965616336616195
10,5.549235366940629,[-0.35001257  0.11430676],[-1.09237815  0.00477778],0.0,1.0,2.9667955581187466
10,0.016425004630726468,[ 1.66103318 -1.15926559],[-0.66933169 -1.39826983],0.0,1.0,0.7653228991825957
10,0.008391549005145327,[1.11691391 0.88943843],[2.22768361 2.29543337],0.0,0.0,2.240298055199673
10,0.36629191315136805,[-0.01874477  0.15260526],[-0.61348849  1.15495166],0.0,1.0,8.505748306781864
10,0.30127792542783627,[-0.08066337 -0.2271889 ],[ 1.26577186 -1.47336122],0.0,0.0,8.057008540186615
10,0.013747493709263871,[-0.67830828 -1.95925384],[ 0.05286243 -2.30836823],0.0,0.0,1.113644149721407
10,0.12145662320625766,[ 1.00629257 -1.72044062],[ 1.27982908 -2.7087649 ],0.0,0.0,1.5031142777923232
10,0.10305759202384643,[-0.79496613  1.52025939],[-0.42049579  2.56881795],0.0,1.0,1.5172890296859873
